,Junction,points
0,POINT (105.4622873285699 20.32028156808853),3.0
1,POINT (105.4318836856902 20.33949305842712),3.0
2,POINT (105.5207264155239 20.2891216304276),3.0
3,POINT (105.4629121980745 20.31274356317188),3.0
4,POINT (105.4789571775974 20.30337494312544),3.0
5,POINT (105.4829702142107 20.30040103851538),3.0
6,POINT (105.434796771968 20.33679109476187),3.0
7,POINT (105.4666073267616 20.31162109603935),3.0
8,POINT (105.466534793926 20.31163840127984),3.0
9,POINT (105.4470914035909 20.33499699497623),3.0
10,POINT (105.4512836111387 20.32913796985158),3.0
11,POINT (105.4670802100348 20.29472207920744),3.0
12,POINT (105.4366492002779 20.33796855273076),3.0
13,POINT (105.487523569911 20.29981930930112),3.0
14,POINT (105.4604962832893 20.31751352387407),3.0
15,POINT (105.4318837048261 20.33949297917929),3.0
16,POINT (105.5207264746559 20.28912164084944),3.0
17,POINT (105.4661610892443 20.31141794992458),3.0
18,POINT (105.4604221998561 20.31733327726614),3.0
19,POINT (105.4465929810003 20.33458917493418),3.0
20,POINT (105.4472528086219 20.33497004696653),3.0
21,POINT (105.4670802008609 20.29472210134877),3.0
22,POINT (105.4602899106306 20.31928303123945),3.0
23,POINT (105.4619501746286 20.31611530004923),3.0
24,POINT (105.4318836822289 20.33949306496162),3.0
25,POINT (105.520726378372 20.28912163324284),3.0
26,POINT (105.4670801864872 20.29472202984697),3.0
27,POINT (105.4734269831791 20.29623411323136),3.0
28,POINT (105.4366383746849 20.33742614351034),3.0
29,POINT (105.4623552024145 20.32036969435446),3.0
30,POINT (105.4480773819929 20.33357408212205),3.0
31,POINT (105.4540631385366 20.32496065597705),3.0
32,POINT (105.4755676237932 20.30460761652465),3.0
33,POINT (105.4392962385947 20.3391243890073),3.0
34,POINT (105.4319872458107 20.33934607056483),3.0
35,POINT (105.4670802181214 20.29472208890278),3.0
36,POINT (105.437706399634 20.33937913667106),3.0
37,POINT (105.4855062599548 20.29892873027015),3.0
38,POINT (105.5207266325369 20.28912171222579),3.0
39,POINT (105.4395437983673 20.3386601580838),3.0
40,POINT (105.4330592382036 20.33894342267848),3.0
41,POINT (105.4629160758201 20.31273493917662),3.0
42,POINT (105.4360933760869 20.33669782109907),3.0
43,POINT (105.4830614751236 20.2992480485208),3.0
44,POINT (105.4830475465458 20.30024773942172),3.0
45,POINT (105.4329681894801 20.33896460550563),3.0
46,POINT (105.462287333368 20.32028154784801),3.0
47,POINT (105.4509357728579 20.32998184065466),3.0
48,POINT (105.4593910419714 20.3201604156508),3.0
49,POINT (105.4365647967714 20.33775282197779),3.0
50,POINT (105.4622889481574 20.32036066905427),3.0
51,POINT (105.4510228593608 20.32827908264633),3.0
52,POINT (105.4659845841076 20.31143180350938),3.0
53,POINT (105.4319308583723 20.33940417564368),3.0
54,POINT (105.4509141820136 20.32843720129918),3.0
55,POINT (105.4352825683806 20.3365343645656),3.0
56,POINT (105.4782613831077 20.30374486972107),3.0
57,POINT (105.4355231746844 20.33661295990662),3.0
58,POINT (105.4354575711266 20.33656848373222),3.0
59,POINT (105.71956171395 20.11976975394943),3.0
60,POINT (105.7194028729749 20.12039010804912),3.0
61,POINT (105.7075735503649 20.11859690210454),3.0
62,POINT (105.7075734457689 20.11859683972041),3.0
63,POINT (105.7195416065504 20.11970975248952),3.0
64,POINT (105.7125789034285 20.11922654169868),3.0
65,POINT (105.7195415632657 20.11970971619592),3.0
66,POINT (105.7195263126278 20.12029761962941),3.0
67,POINT (105.7143193366303 20.11983802239652),3.0
68,POINT (105.7195892309456 20.12014368274583),3.0
69,POINT (105.7075735371537 20.11859689637628),3.0
70,POINT (105.7146698852537 20.1205465343416),3.0
71,POINT (105.7142802066267 20.11986740248991),3.0
72,POINT (105.719541651595 20.11970981520575),3.0
73,POINT (105.7075734872422 20.11859685770013),3.0
74,POINT (105.6918258684149 20.08604639962123),4.0
75,POINT (105.6702275582558 20.17652653783689),3.0
76,POINT (105.8167805927362 20.04768988488294),3.0
77,POINT (105.7277053546144 20.141634928003),3.0
78,POINT (105.620175862204 20.21229941156974),3.0
79,POINT (105.7628275906584 20.08504266377459),3.0
80,POINT (105.7720563716559 20.09580912855576),3.0
81,POINT (105.727227694466 20.13080368690492),3.0
82,POINT (105.6998221299323 20.16456494801077),3.0
83,POINT (105.687608837093 20.14543711209781),3.0
84,POINT (105.6770185944243 20.11373726632332),3.0
85,POINT (105.586936808399 20.27656306870344),3.0
86,POINT (105.7554268809065 20.09385396644105),3.0
87,POINT (105.6473594979682 20.12463100675103),3.0
88,POINT (105.5996344827427 20.10900919143433),3.0
89,POINT (105.5966269015989 20.23576165478311),3.0
90,POINT (105.741079528325 20.13665435509038),3.0
91,POINT (105.6473593683131 20.12463101757777),3.0
92,POINT (105.6236404799834 20.14642354169096),3.0
93,POINT (105.6615940073344 20.20919574114607),3.0
94,POINT (105.7692884870703 20.16052505353145),3.0
95,POINT (105.7231474287945 20.13346323597576),3.0
96,POINT (105.661720907385 20.19382112910335),3.0
97,POINT (105.6596354055586 20.25763187508462),3.0
98,POINT (105.737138640335 20.11500180973372),3.0
99,POINT (105.7210439744256 20.13639422828275),3.0
100,POINT (105.7147554159414 20.12432658691149),3.0
101,POINT (105.7468454730787 20.12979047564683),3.0
102,POINT (105.7506164501386 20.12988231701666),3.0
103,POINT (105.6500762868082 20.17255858317728),3.0
104,POINT (105.6529047190042 20.12560594734023),3.0
105,POINT (105.7339560815476 20.1125855586361),3.0
106,POINT (105.6069457371158 20.24613396144044),3.0
107,POINT (105.6560220282822 20.2018160262138),3.0
108,POINT (105.6739754360779 20.1290749346705),3.0
109,POINT (105.6110515051884 20.27743909894543),3.0
110,POINT (105.6596352434794 20.25763188986584),3.0
111,POINT (105.6613355490285 20.16288076805743),3.0
112,POINT (105.6069457146069 20.24613387771955),3.0
113,POINT (105.7406470313504 20.0683440432378),3.0
114,POINT (105.7496093522045 20.13749948668991),3.0
115,POINT (105.7511899868113 20.12856823179164),3.0
116,POINT (105.6675586352353 20.19147772925793),3.0
117,POINT (105.5962822768154 20.23558993055195),3.0
118,POINT (105.6787099306195 20.13707701327288),3.0
119,POINT (105.6772194998191 20.08575752842832),3.0
120,POINT (105.6628093540044 20.16332156079555),3.0
121,POINT (105.6084398063023 20.11503661543643),3.0
122,POINT (105.7580633016298 20.09515326613418),3.0
123,POINT (105.7058249894457 20.19254953219626),3.0
124,POINT (105.6530037325465 20.12471931065925),3.0
125,POINT (105.78115053465 20.17066442350743),3.0
126,POINT (105.6162785261401 20.20910021482062),3.0
127,POINT (105.692545450404 20.10959441791711),3.0
128,POINT (105.580235033094 20.25577250064204),3.0
129,POINT (105.6374823074471 20.11316644307036),3.0
130,POINT (105.6584773697437 20.19729234117623),3.0
131,POINT (105.7523150056262 20.12756692421002),3.0
132,POINT (105.6528721333827 20.12562181056332),3.0
133,POINT (105.6716953049104 20.17629963915975),3.0
134,POINT (105.5960298306223 20.23507271187046),3.0
135,POINT (105.6438628138611 20.22261295424492),3.0
136,POINT (105.7198393270565 20.12787352922838),3.0
137,POINT (105.7229483458361 20.12991743275862),3.0
138,POINT (105.586434455934 20.15606116042249),3.0
139,POINT (105.6917314060708 20.08596596051978),3.0
140,POINT (105.8153966427067 20.04846562220791),3.0
141,POINT (105.630744728372 20.10657681822944),3.0
142,POINT (105.5818962753988 20.28158839558368),3.0
143,POINT (105.6728119169899 20.12022309508256),3.0
144,POINT (105.7239306125666 20.15052762549727),3.0
145,POINT (105.615692650521 20.20950203561038),3.0
146,POINT (105.7811505411738 20.17066442616798),3.0
147,POINT (105.6699640388696 20.13846089956867),3.0
148,POINT (105.6539288828824 20.19954024206446),3.0
149,POINT (105.68935042489 20.12892786926537),3.0
150,POINT (105.6762374442213 20.11569508334465),3.0
151,POINT (105.7072741464128 20.11803658276363),3.0
152,POINT (105.6898060278261 20.13908930384442),3.0
153,POINT (105.7455952292639 20.12480394527513),3.0
154,POINT (105.5819490086692 20.28150161831145),3.0
155,POINT (105.7482677847415 20.12487004102819),3.0
156,POINT (105.6991444093344 20.16373340393366),3.0
157,POINT (105.6560412210397 20.22234910303462),3.0
158,POINT (105.6068302472118 20.27658418836926),3.0
159,POINT (105.7407755244915 20.06895864896728),3.0
160,POINT (105.5825251823389 20.2843314996769),3.0
161,POINT (105.7799188482265 20.14351844314446),3.0
162,POINT (105.5997050989914 20.10900769983243),3.0
163,POINT (105.749609614099 20.13749942855066),3.0
164,POINT (105.5478442064103 20.2681831085384),3.0
165,POINT (105.68009301984 20.12637249138396),3.0
166,POINT (105.7372038921933 20.11463026830823),3.0
167,POINT (105.7175694825343 20.14604935423008),3.0
168,POINT (105.7344538307868 20.14862850500788),3.0
169,POINT (105.687249556864 20.14590544422797),3.0
170,POINT (105.6182577386082 20.15981274015611),3.0
171,POINT (105.7058466757491 20.11989987567905),3.0
172,POINT (105.6209992395326 20.15123907882346),3.0
173,POINT (105.7417810028387 20.12198121574472),3.0
174,POINT (105.6730711397461 20.12424286465575),3.0
175,POINT (105.6776272980122 20.08684006686),3.0
176,POINT (105.7743425657162 20.09794154669374),3.0
177,POINT (105.6878673103654 20.13090035010072),3.0
178,POINT (105.6769173226309 20.08436387747761),3.0
179,POINT (105.6848927675042 20.20454727680491),3.0
180,POINT (105.7178694527343 20.12492365446718),3.0
181,POINT (105.7636160360894 20.08566255366575),3.0
182,POINT (105.6789836375204 20.07489838107718),3.0
183,POINT (105.6692361402289 20.12931457905115),3.0
184,POINT (105.6325444032134 20.09805692157348),3.0
185,POINT (105.6523902598699 20.11098927627503),3.0
186,POINT (105.7107437733505 20.14860370258635),3.0
187,POINT (105.6274526125441 20.1017407201275),3.0
188,POINT (105.6337132280999 20.09858312209378),3.0
189,POINT (105.6171838345911 20.11753991631128),3.0
190,POINT (105.6498091729772 20.18375585306404),3.0
191,POINT (105.6080291852208 20.1562983645613),3.0
192,POINT (105.7405440168867 20.12264788238687),3.0
193,POINT (105.6734633279148 20.15613298344684),3.0
194,POINT (105.662567295373 20.16317633764751),3.0
195,POINT (105.7888196313471 20.13642264029147),3.0
196,POINT (105.6296893452882 20.13082466316705),3.0
197,POINT (105.5825253231946 20.28433158388448),3.0
198,POINT (105.6113600959203 20.13486601909929),3.0
199,POINT (105.7870714255558 20.13508125715145),3.0
200,POINT (105.5505250335991 20.27879974940912),3.0
201,POINT (105.7507296977981 20.12398402985346),3.0
202,POINT (105.7747736295744 20.12199420834979),3.0
203,POINT (105.5800621452896 20.2546355983417),3.0
204,POINT (105.7275701985212 20.14741373372101),3.0
205,POINT (105.6657412532078 20.21443986308645),3.0
206,POINT (105.7790514742371 20.10188599729544),3.0
207,POINT (105.7216009978059 20.1289055582448),3.0
208,POINT (105.7611723411854 20.16123894708976),3.0
209,POINT (105.65511171731 20.11460331862529),3.0
210,POINT (105.6798306590513 20.13753484839721),3.0
211,POINT (105.6594727291244 20.19603517423998),3.0
212,POINT (105.6880898951747 20.13058752450286),3.0
213,POINT (105.773404026218 20.09707431247404),3.0
214,POINT (105.6904160222046 20.16630089701989),3.0
215,POINT (105.737442962686 20.11337374949573),3.0
216,POINT (105.6639486385485 20.16110773605191),3.0
217,POINT (105.6204889641788 20.15025002196325),3.0
218,POINT (105.7788110343837 20.10386668084659),3.0
219,POINT (105.779134430251 20.1033893711781),3.0
220,POINT (105.6614600259276 20.16281735925211),3.0
221,POINT (105.6540026675734 20.19956074417216),3.0
222,POINT (105.7059933421083 20.12003988233864),3.0
223,POINT (105.620369660426 20.21265965766579),3.0
224,POINT (105.6800884871994 20.05684494767683),3.0
225,POINT (105.7790113746868 20.11052593889067),3.0
226,POINT (105.6732111931445 20.13757603444388),3.0
227,POINT (105.742378799314 20.14220473560133),3.0
228,POINT (105.6804218459445 20.12505008850487),3.0
229,POINT (105.6467038237289 20.18197565158181),3.0
230,POINT (105.6319584256466 20.09842548799457),3.0
231,POINT (105.7776304544349 20.0980027076168),3.0
232,POINT (105.6492864352877 20.18403331797361),3.0
233,POINT (105.7781214189447 20.09822546279471),3.0
234,POINT (105.6939170914647 20.12281916995742),3.0
235,POINT (105.689715247844 20.13939101061876),3.0
236,POINT (105.603462371483 20.2378816784461),3.0
237,POINT (105.6873215750784 20.13184492258329),3.0
238,POINT (105.6379559219395 20.21330801724925),3.0
239,POINT (105.7372192541233 20.11436433420893),3.0
240,POINT (105.6343560705241 20.13928594107617),3.0
241,POINT (105.6153770006302 20.23386982510315),3.0
242,POINT (105.6811744908538 20.09223594967174),3.0
243,POINT (105.7135529961735 20.1107794939919),3.0
244,POINT (105.7092852242255 20.1500173706606),3.0
245,POINT (105.7528939283352 20.12695037140297),3.0
246,POINT (105.5495819702548 20.26928599123797),3.0
247,POINT (105.7372192574251 20.11436435508561),3.0
248,POINT (105.7460285104571 20.12484744833203),3.0
249,POINT (105.5880626636653 20.27655868688978),3.0
250,POINT (105.7494848034072 20.13045729327086),3.0
251,POINT (105.7393902842861 20.14630557619837),3.0
252,POINT (105.7221834811708 20.13405403466778),3.0
253,POINT (105.5962352643785 20.23543431022904),3.0
254,POINT (105.845577580184 20.04597891608138),3.0
255,POINT (105.7785926949668 20.10996967855656),3.0
256,POINT (105.6705233711727 20.17658836616635),3.0
257,POINT (105.6986990156671 20.07496200906808),3.0
258,POINT (105.6947987258212 20.20629734060619),3.0
259,POINT (105.6035703011695 20.23805162581706),3.0
260,POINT (105.6916486866943 20.08601469807143),3.0
261,POINT (105.740780205824 20.06889660480907),3.0
262,POINT (105.7728496062999 20.12688255032249),3.0
263,POINT (105.7020310665861 20.09741718264856),3.0
264,POINT (105.7514988518377 20.12831427203881),3.0
265,POINT (105.7211951625568 20.13749440008612),3.0
266,POINT (105.751120062375 20.08794231273928),3.0
267,POINT (105.6905995403314 20.04058993808656),3.0
268,POINT (105.7622718096548 20.09725450623966),3.0
269,POINT (105.7428855200147 20.12234845834508),3.0
270,POINT (105.6776325342729 20.1341356610464),3.0
271,POINT (105.7602374935252 20.0956706570504),3.0
272,POINT (105.7407807189099 20.15859152489366),3.0
273,POINT (105.7486488144511 20.12961671996246),3.0
274,POINT (105.637927942554 20.21346091965717),3.0
275,POINT (105.6700020525503 20.12729306792375),3.0
276,POINT (105.7020062056291 20.20357713370145),3.0
277,POINT (105.7790448668604 20.10146265817443),3.0
278,POINT (105.7685575919287 20.09284355489144),3.0
279,POINT (105.5731935150084 20.26899960790167),3.0
280,POINT (105.6299682566904 20.10054528823244),3.0
281,POINT (105.6903623687386 20.13853176063281),3.0
282,POINT (105.5751591006921 20.25085882716467),3.0
283,POINT (105.7302797526988 20.15010465649559),3.0
284,POINT (105.6702353332475 20.17251027223988),3.0
285,POINT (105.6776325060814 20.1341356629813),3.0
286,POINT (105.6050952889427 20.12323768227052),3.0
287,POINT (105.6209033341158 20.11117805562214),3.0
288,POINT (105.7410795286999 20.13665435424894),3.0
289,POINT (105.6639486347428 20.16110775497081),3.0
290,POINT (105.739628382135 20.06745771888766),3.0
291,POINT (105.7533516603799 20.12612672959748),3.0
292,POINT (105.7520594548725 20.09044130836499),3.0
293,POINT (105.6787628330081 20.13217794085414),3.0
294,POINT (105.5857989887729 20.15608789854151),3.0
295,POINT (105.5748444386271 20.25070215502011),3.0
296,POINT (105.6095318548532 20.13761647532751),3.0
297,POINT (105.768864995478 20.11757604795412),3.0
298,POINT (105.5835281654467 20.26599855839526),3.0
299,POINT (105.6099000585791 20.14338203144949),3.0
300,POINT (105.7551021520135 20.0936045101172),3.0
301,POINT (105.7624051567435 20.10123798061993),3.0
302,POINT (105.6646043342564 20.15968152847308),3.0
303,POINT (105.7630605458728 20.08263054062824),3.0
304,POINT (105.7188035582525 20.14637793668504),3.0
305,POINT (105.6507524570232 20.13377146642332),3.0
306,POINT (105.6395919117024 20.21656795768408),3.0
307,POINT (105.5985476201145 20.23624487589947),3.0
308,POINT (105.7454483741092 20.12460365408462),3.0
309,POINT (105.5986131744625 20.2362980690884),3.0
310,POINT (105.7523678368466 20.12444777940984),3.0
311,POINT (105.6795776905639 20.13281622931079),3.0
312,POINT (105.6204296826467 20.15042373963354),3.0
313,POINT (105.67339285909 20.15569596952483),3.0
314,POINT (105.7754674521388 20.0977151522201),3.0
315,POINT (105.7461503319669 20.13073656180181),3.0
316,POINT (105.595144369339 20.23406929921698),3.0
317,POINT (105.7275702317894 20.14741371124983),3.0
318,POINT (105.7512758172669 20.08900006416489),3.0
319,POINT (105.765406535361 20.08681890406869),3.0
320,POINT (105.6214530050573 20.11215519646784),3.0
321,POINT (105.6032891936061 20.23726749542727),3.0
322,POINT (105.6935253234714 20.1233270055807),3.0
323,POINT (105.6231921422022 20.2131318099071),3.0
324,POINT (105.6694065921381 20.14138189805912),3.0
325,POINT (105.620901249909 20.11136756309191),3.0
326,POINT (105.7450135432911 20.07136477226733),3.0
327,POINT (105.7372192474493 20.11436431872202),3.0
328,POINT (105.6752569257514 20.12071275642123),3.0
329,POINT (105.6974873282489 20.17063541856665),3.0
330,POINT (105.6733928320374 20.15569589022612),3.0
331,POINT (105.7407575005376 20.1598737551014),3.0
332,POINT (105.6814626214706 20.13606679335882),3.0
333,POINT (105.7498987849022 20.12413814505917),3.0
334,POINT (105.6079173500891 20.15618358347422),3.0
335,POINT (105.7535687518396 20.12574409850301),3.0
336,POINT (105.585647347564 20.27060403890484),3.0
337,POINT (105.5697379126286 20.25285281629724),3.0
338,POINT (105.767453285105 20.0877462320598),3.0
339,POINT (105.6412165756772 20.13289678729632),3.0
340,POINT (105.6006801681143 20.15544765049154),3.0
341,POINT (105.6978364178408 20.12506193847857),3.0
342,POINT (105.6906498088614 20.12728156872195),3.0
343,POINT (105.7394699575015 20.06652620716656),3.0
344,POINT (105.5772620201942 20.28524633760174),3.0
345,POINT (105.6782996290031 20.07604857000454),3.0
346,POINT (105.6762023451929 20.1155236125289),3.0
347,POINT (105.6267220368749 20.1249764037976),3.0
348,POINT (105.6662444817078 20.18505522748005),3.0
349,POINT (105.6431017329536 20.18178227453623),3.0
350,POINT (105.7409439749599 20.06880667403795),3.0
351,POINT (105.6283143882541 20.11403650417456),3.0
352,POINT (105.7538045819066 20.12542481501097),3.0
353,POINT (105.6223897504087 20.21369357197729),3.0
354,POINT (105.6938400769239 20.12250748944855),3.0
355,POINT (105.5438540486956 20.29448109940057),3.0
356,POINT (105.6700020689617 20.12729304637815),3.0
357,POINT (105.7757658897391 20.09779581885431),3.0
358,POINT (105.7775455874758 20.11938451966779),3.0
359,POINT (105.607484158676 20.23437268767027),3.0
360,POINT (105.6700020262382 20.12729318704908),3.0
361,POINT (105.6623469587514 20.19457487117089),3.0
362,POINT (105.6815639660091 20.13630000828569),3.0
363,POINT (105.7403899670914 20.07594279763313),3.0
364,POINT (105.7285568679969 20.14580455766232),3.0
365,POINT (105.675329188734 20.12984531453005),3.0
366,POINT (105.7589157483263 20.09483150016388),3.0
367,POINT (105.6203553687817 20.21080103166253),3.0
368,POINT (105.608524219944 20.11365341429939),3.0
369,POINT (105.5761255135097 20.29119630158144),3.0
370,POINT (105.7728442294237 20.12688421273003),3.0
371,POINT (105.6709886124721 20.13897541974508),3.0
372,POINT (105.7197554853118 20.14882480389824),3.0
373,POINT (105.6072922429684 20.23444148046607),3.0
374,POINT (105.7625190685403 20.08091701068178),3.0
375,POINT (105.5429367407806 20.29450033964055),3.0
376,POINT (105.6908608782569 20.16274355180916),3.0
377,POINT (105.7496093832524 20.13749946566131),3.0
378,POINT (105.7201058485661 20.12792107214166),3.0
379,POINT (105.7526074191146 20.09098101012526),3.0
380,POINT (105.7502851143613 20.08588393162719),3.0
381,POINT (105.6268190631277 20.12703996842886),3.0
382,POINT (105.7281018007515 20.14708426159192),3.0
383,POINT (105.781150519357 20.17066440696292),3.0
384,POINT (105.6398165225559 20.12943866503008),3.0
385,POINT (105.6615940177455 20.20919582615589),3.0
386,POINT (105.608291297353 20.14754283569102),3.0
387,POINT (105.745608565927 20.12475951922062),3.0
388,POINT (105.6662445568702 20.18505525717332),3.0
389,POINT (105.5861196207617 20.28350012369375),3.0
390,POINT (105.7718781194405 20.09578771301742),3.0
391,POINT (105.5552144346459 20.26302744396019),3.0
392,POINT (105.6775863834393 20.08668928064426),3.0
393,POINT (105.7342440334553 20.14802408191627),3.0
394,POINT (105.7397319611982 20.14596365797747),3.0
395,POINT (105.7016911074381 20.17330663280441),3.0
396,POINT (105.6730327571596 20.15405418494413),3.0
397,POINT (105.8455738308991 20.04624591938937),3.0
398,POINT (105.5850406151468 20.28238967286901),3.0
399,POINT (105.6070726822231 20.12401035667029),3.0
400,POINT (105.6570989498828 20.21106621093209),3.0
401,POINT (105.6880574294938 20.13675381055261),3.0
402,POINT (105.6784644134688 20.1277849247675),3.0
403,POINT (105.6795779259501 20.13281630628136),3.0
404,POINT (105.6072669704737 20.23441965194572),3.0
405,POINT (105.6283081020286 20.21199373847113),3.0
406,POINT (105.6896300962954 20.13962704381249),3.0
407,POINT (105.6451521225302 20.13394249624453),3.0
408,POINT (105.6254512643636 20.11294692849426),3.0
409,POINT (105.6739755802387 20.22987607911835),3.0
410,POINT (105.7329377577001 20.1405624447283),3.0
411,POINT (105.7686766690589 20.09312575668803),3.0
412,POINT (105.6978364763242 20.12506184964272),3.0
413,POINT (105.7680784985152 20.08858313624678),3.0
414,POINT (105.5214932166261 20.30747449983966),3.0
415,POINT (105.6963232235733 20.01316438801747),3.0
416,POINT (105.6471843330147 20.12333377956623),3.0
417,POINT (105.5608044911686 20.27665315045096),3.0
418,POINT (105.6870270397777 20.12275410904244),3.0
419,POINT (105.6299683284886 20.10054517991577),3.0
420,POINT (105.6792682426672 20.13259763754658),3.0
421,POINT (105.5481453718445 20.26845845661243),3.0
422,POINT (105.7392123714915 20.14816096881465),3.0
423,POINT (105.6435683921066 20.22258816843034),3.0
424,POINT (105.6925454493963 20.10959442039305),3.0
425,POINT (105.6674569581884 20.17331159634662),3.0
426,POINT (105.688174922121 20.13054988087123),3.0
427,POINT (105.7344228930038 20.14866017988127),3.0
428,POINT (105.6068706431807 20.12401985579533),3.0
429,POINT (105.7511192063873 20.08793927734478),3.0
430,POINT (105.6739850260806 20.22999052972609),3.0
431,POINT (105.6753638594593 20.20356885828875),3.0
432,POINT (105.5958718857706 20.23492628428021),3.0
433,POINT (105.5815180962624 20.27984057403834),3.0
434,POINT (105.6918467644749 20.12587955512681),3.0
435,POINT (105.5761255235604 20.29119625923879),3.0
436,POINT (105.6422289682735 20.1178626974945),3.0
437,POINT (105.5479164698863 20.26817275887967),3.0
438,POINT (105.7624711024731 20.10127269380891),3.0
439,POINT (105.6727603618542 20.14423738019601),3.0
440,POINT (105.7680960926457 20.09192919324874),3.0
441,POINT (105.7624710948346 20.10127269386315),3.0
442,POINT (105.7234199539413 20.13011254893205),3.0
443,POINT (105.7888195372269 20.13642264457931),3.0
444,POINT (105.7788993966641 20.10375186566475),3.0
445,POINT (105.5771890809943 20.28543609525351),3.0
446,POINT (105.753809659412 20.12505488354193),3.0
447,POINT (105.6574255497943 20.19840540311709),3.0
448,POINT (105.608439793561 20.11503664829928),3.0
449,POINT (105.7779405920459 20.09811656445961),3.0
450,POINT (105.6261183898398 20.14308444700854),3.0
451,POINT (105.5520195932107 20.28094582996281),3.0
452,POINT (105.73589825953 20.08389847379543),3.0
453,POINT (105.7603367994549 20.12544475156429),3.0
454,POINT (105.7629441156881 20.08285008853872),3.0
455,POINT (105.7502105518154 20.13053414956907),3.0
456,POINT (105.7783600992292 20.09834693910559),3.0
457,POINT (105.6480287545848 20.12457700437636),3.0
